Director,IMDb Page
Isabelle Ingold,"{'Director': 'Isabelle Ingold', 'IMDb Page': 'https://www.imdb.com/name/nm0408910/?ref_=fn_nme_nme_1'}"
Edith Eisenstecken,"{'Director': 'Edith Eisenstecken', 'IMDb Page': 'https://www.imdb.com/name/nm0252072/?ref_=fn_nme_nme_1'}"
Evi Oberkofler,"{'Director': 'Evi Oberkofler', 'IMDb Page': 'https://www.imdb.com/name/nm0643267/?ref_=fn_nme_nme_1'}"
Inès Reg,"{'Director': 'Inès Reg', 'IMDb Page': 'https://www.imdb.com/name/nm9369625/?ref_=fn_nme_nme_1'}"
Briana Hansen,"{'Director': 'Briana Hansen', 'IMDb Page': 'https://www.imdb.com/name/nm4749789/?ref_=fn_nme_nme_1'}"
Natasha Pearl Hansen,"{'Director': 'Natasha Pearl Hansen', 'IMDb Page': 'https://www.imdb.com/name/nm4319541/?ref_=fn_nme_nme_1'}"
Essay Liu,"{'Director': 'Essay Liu', 'IMDb Page': 'https://www.imdb.com/name/nm4126407/?ref_=fn_nme_nme_1'}"
Elizabeth Sankey,"{'Director': 'Elizabeth Sankey', 'IMDb Page': 'https://www.imdb.com/name/nm4838382/?ref_=fn_nme_nme_1'}"
Mélanie Pilon,"{'Director': 'Mélanie Pilon', 'IMDb Page': 'https://www.imdb.com/name/nm1958450/?ref_=fn_nme_nme_1'}"
Ashley Pearce,"{'Director': 'Ashley Pearce', 'IMDb Page': 'https://www.imdb.com/name/nm0668887/?ref_=fn_nme_nme_1'}"
Anne Renton,"{'Director': 'Anne Renton', 'IMDb Page': 'https://www.imdb.com/name/nm2704557/?ref_=fn_nme_nme_1'}"
Paula Oropeza,"{'Director': 'Paula Oropeza', 'IMDb Page': 'https://www.imdb.com/name/nm4540755/?ref_=fn_nme_nme_1'}"
Inese Kļava,"{'Director': 'Inese Kļava', 'IMDb Page': 'https://www.imdb.com/name/nm5043815/?ref_=fn_nme_nme_1'}"
Roja Pakari,"{'Director': 'Roja Pakari', 'IMDb Page': 'https://www.imdb.com/name/nm4659475/?ref_=fn_nme_nme_1'}"
Katja Fedulova,"{'Director': 'Katja Fedulova', 'IMDb Page': 'https://www.imdb.com/name/nm9067644/?ref_=fn_nme_nme_1'}"
Edita Kabaraite,"{'Director': 'Edita Kabaraite', 'IMDb Page': 'https://www.imdb.com/name/nm5526387/?ref_=fn_nme_nme_1'}"
Melissa Painter,"{'Director': 'Melissa Painter', 'IMDb Page': 'https://www.imdb.com/name/nm0656889/?ref_=fn_nme_nme_1'}"
Mary Jo Godges,"{'Director': 'Mary Jo Godges', 'IMDb Page': 'https://www.imdb.com/name/nm2180403/?ref_=fn_nme_nme_1'}"
Céline Sallette,"{'Director': 'Céline Sallette', 'IMDb Page': 'https://www.imdb.com/name/nm2072818/?ref_=fn_nme_nme_1'}"
Ceyda Torun,"{'Director': 'Ceyda Torun', 'IMDb Page': 'https://www.imdb.com/name/nm2167704/?ref_=fn_nme_nme_1'}"
Maura Anderson,"{'Director': 'Maura Anderson', 'IMDb Page': 'https://www.imdb.com/name/nm2306906/?ref_=fn_nme_nme_1'}"
Silke Schissler,"{'Director': 'Silke Schissler', 'IMDb Page': 'https://www.imdb.com/name/nm12247383/?ref_=fn_nme_nme_1'}"
Emer Reynolds,"{'Director': 'Emer Reynolds', 'IMDb Page': 'https://www.imdb.com/name/nm0721707/?ref_=fn_nme_nme_1'}"
Nicole Vögele,"{'Director': 'Nicole Vögele', 'IMDb Page': 'https://www.imdb.com/name/nm6197363/?ref_=fn_nme_nme_1'}"
Lisa Marie Gamlem,"{'Director': 'Lisa Marie Gamlem', 'IMDb Page': 'https://www.imdb.com/name/nm2517015/?ref_=fn_nme_nme_1'}"
Natalia Kostenko,"{'Director': 'Natalia Kostenko', 'IMDb Page': 'https://www.imdb.com/name/nm5176412/?ref_=fn_nme_nme_1'}"
Heather Tobin,"{'Director': 'Heather Tobin', 'IMDb Page': 'https://www.imdb.com/name/nm2832396/?ref_=fn_nme_nme_1'}"
Arantza Santesteban Perez,"{'Director': 'Arantza Santesteban Perez', 'IMDb Page': 'https://www.imdb.com/name/nm9352094/?ref_=fn_nme_nme_1'}"
Deborah Brock,"{'Director': 'Deborah Brock', 'IMDb Page': 'https://www.imdb.com/name/nm0110564/?ref_=fn_nme_nme_1'}"
Sabine Herpich,"{'Director': 'Sabine Herpich', 'IMDb Page': 'https://www.imdb.com/name/nm3201443/?ref_=fn_nme_nme_1'}"
Ivy Ho,"{'Director': 'Ivy Ho', 'IMDb Page': 'https://www.imdb.com/name/nm1562198/?ref_=fn_nme_nme_1'}"
Elena Wolff,"{'Director': 'Elena Wolff', 'IMDb Page': 'https://www.imdb.com/name/nm11522164/?ref_=fn_nme_nme_1'}"
Diana Cardozo,"{'Director': 'Diana Cardozo', 'IMDb Page': 'https://www.imdb.com/name/nm1671956/?ref_=fn_nme_nme_1'}"
Celine Held,"{'Director': 'Celine Held', 'IMDb Page': 'https://www.imdb.com/name/nm3961122/?ref_=fn_nme_nme_1'}"
Agnes Lisa Wegner,"{'Director': 'Agnes Lisa Wegner', 'IMDb Page': 'https://www.imdb.com/name/nm8651698/?ref_=fn_nme_nme_1'}"
Cece Mlay,"{'Director': 'Cece Mlay', 'IMDb Page': 'https://www.imdb.com/name/nm6554413/?ref_=fn_nme_nme_1'}"
Im Jeong-eun,"{'Director': 'Im Jeong-eun', 'IMDb Page': 'https://www.imdb.com/name/nm9612228/?ref_=fn_nme_nme_1'}"
Teresa Suárez,"{'Director': 'Teresa Suárez', 'IMDb Page': 'https://www.imdb.com/name/nm0840838/?ref_=fn_nme_nme_1'}"
Eliza Kubarska,"{'Director': 'Eliza Kubarska', 'IMDb Page': 'https://www.imdb.com/name/nm6277212/?ref_=fn_nme_nme_1'}"
Andrea Valencia Rivero,"{'Director': 'Andrea Valencia Rivero', 'IMDb Page': 'Not Found'}"
Kari Anne Moe,"{'Director': 'Kari Anne Moe', 'IMDb Page': 'https://www.imdb.com/name/nm4382297/?ref_=fn_nme_nme_1'}"
Lynne Littman,"{'Director': 'Lynne Littman', 'IMDb Page': 'https://www.imdb.com/name/nm0003313/?ref_=fn_nme_nme_1'}"
Olga Pärn,"{'Director': 'Olga Pärn', 'IMDb Page': 'https://www.imdb.com/name/nm3540618/?ref_=fn_nme_nme_1'}"
Mercy Aigbe Gentry,"{'Director': 'Mercy Aigbe Gentry', 'IMDb Page': 'https://www.imdb.com/name/nm3443150/?ref_=fn_nme_nme_1'}"
Anja Breien,"{'Director': 'Anja Breien', 'IMDb Page': 'https://www.imdb.com/name/nm0106908/?ref_=fn_nme_nme_1'}"
Mia Fryland,"{'Director': 'Mia Fryland', 'IMDb Page': 'https://www.imdb.com/name/nm1847644/?ref_=fn_nme_nme_1'}"
Lorraine Senna,"{'Director': 'Lorraine Senna', 'IMDb Page': 'https://www.imdb.com/name/nm0784388/?ref_=fn_nme_nme_1'}"
Stéphanie Joalland,"{'Director': 'Stéphanie Joalland', 'IMDb Page': 'https://www.imdb.com/name/nm2042155/?ref_=fn_nme_nme_1'}"
Julie Ann Cairns,"{'Director': 'Julie Ann Cairns', 'IMDb Page': 'https://www.imdb.com/name/nm8175750/?ref_=fn_nme_nme_1'}"
Michelle Bello,"{'Director': 'Michelle Bello', 'IMDb Page': 'https://www.imdb.com/name/nm3700303/?ref_=fn_nme_nme_1'}"
Mona Friis Bertheussen,"{'Director': 'Mona Friis Bertheussen', 'IMDb Page': 'https://www.imdb.com/name/nm6287976/?ref_=fn_nme_nme_1'}"
Lyne Charlebois,"{'Director': 'Lyne Charlebois', 'IMDb Page': 'https://www.imdb.com/name/nm0152953/?ref_=fn_nme_nme_1'}"
Melanie Rodriga,"{'Director': 'Melanie Rodriga', 'IMDb Page': 'https://www.imdb.com/name/nm12360755/?ref_=fn_nme_nme_1'}"
Bella Thorne,"{'Director': 'Bella Thorne', 'IMDb Page': 'https://www.imdb.com/name/nm2254074/?ref_=fn_nme_nme_1'}"
Beverly Shaffer,"{'Director': 'Beverly Shaffer', 'IMDb Page': 'https://www.imdb.com/name/nm0787291/?ref_=fn_nme_nme_1'}"
Lauren Lorenzo,"{'Director': 'Lauren Lorenzo', 'IMDb Page': 'https://www.imdb.com/name/nm7965510/?ref_=fn_nme_nme_1'}"
Hai-shu Li,"{'Director': 'Hai-shu Li', 'IMDb Page': 'https://www.imdb.com/name/nm1934885/?ref_=fn_nme_nme_1'}"
Deepa Sahi,"{'Director': 'Deepa Sahi', 'IMDb Page': 'https://www.imdb.com/name/nm0756313/?ref_=fn_nme_nme_1'}"
Stephanie Laing,"{'Director': 'Stephanie Laing', 'IMDb Page': 'https://www.imdb.com/name/nm0174483/?ref_=fn_nme_nme_1'}"
Ira Carpelan,"{'Director': 'Ira Carpelan', 'IMDb Page': 'https://www.imdb.com/name/nm6064135/?ref_=fn_nme_nme_1'}"
Ninna Pálmadóttir,"{'Director': 'Ninna Pálmadóttir', 'IMDb Page': 'https://www.imdb.com/name/nm5315351/?ref_=fn_nme_nme_1'}"
Cazzie David,"{'Director': 'Cazzie David', 'IMDb Page': 'https://www.imdb.com/name/nm2660078/?ref_=fn_nme_nme_1'}"
Sharon Ryba-Kahn,"{'Director': 'Sharon Ryba-Kahn', 'IMDb Page': 'https://www.imdb.com/name/nm2989721/?ref_=fn_nme_nme_1'}"
Anne Feinsilber,"{'Director': 'Anne Feinsilber', 'IMDb Page': 'https://www.imdb.com/name/nm0960897/?ref_=fn_nme_nme_1'}"
Deborah Riley Draper,"{'Director': 'Deborah Riley Draper', 'IMDb Page': 'https://www.imdb.com/name/nm4934842/?ref_=fn_nme_nme_1'}"
Mélanie Bourlet,"{'Director': 'Mélanie Bourlet', 'IMDb Page': 'https://www.imdb.com/name/nm8044537/?ref_=fn_nme_nme_1'}"
Jun Gu,"{'Director': 'Jun Gu', 'IMDb Page': 'https://www.imdb.com/name/nm3458490/?ref_=fn_nme_nme_1'}"
Pipilotti Rist,"{'Director': 'Pipilotti Rist', 'IMDb Page': 'https://www.imdb.com/name/nm0728409/?ref_=fn_nme_nme_1'}"
Peggy Rajski,"{'Director': 'Peggy Rajski', 'IMDb Page': 'https://www.imdb.com/name/nm0707475/?ref_=fn_nme_nme_1'}"
Ariane Porto,"{'Director': 'Ariane Porto', 'IMDb Page': 'https://www.imdb.com/name/nm2445258/?ref_=fn_nme_nme_1'}"
Susanna Barranco Iglesias,"{'Director': 'Susanna Barranco Iglesias', 'IMDb Page': 'Not Found'}"
Inna Evlannikova,"{'Director': 'Inna Evlannikova', 'IMDb Page': 'https://www.imdb.com/name/nm3575075/?ref_=fn_nme_nme_1'}"
Isabella Carbonell,"{'Director': 'Isabella Carbonell', 'IMDb Page': 'https://www.imdb.com/name/nm3989644/?ref_=fn_nme_nme_1'}"
Malgorzata Gryniewicz,"{'Director': 'Malgorzata Gryniewicz', 'IMDb Page': 'https://www.imdb.com/name/nm10781644/?ref_=fn_nme_nme_1'}"
Mariko Munro,"{'Director': 'Mariko Munro', 'IMDb Page': 'https://www.imdb.com/name/nm3658945/?ref_=fn_nme_nme_1'}"
Linda Hattendorf,"{'Director': 'Linda Hattendorf', 'IMDb Page': 'https://www.imdb.com/name/nm9070159/?ref_=fn_nme_nme_1'}"
Banu Sivaci,"{'Director': 'Banu Sivaci', 'IMDb Page': 'https://www.imdb.com/name/nm6929029/?ref_=fn_nme_nme_1'}"
Verena S. Freytag,"{'Director': 'Verena S. Freytag', 'IMDb Page': 'https://www.imdb.com/name/nm0351548/?ref_=fn_nme_nme_1'}"
Bimbo Oshin,"{'Director': 'Bimbo Oshin', 'IMDb Page': 'https://www.imdb.com/name/nm2429877/?ref_=fn_nme_nme_1'}"
Nino Akhvlediani,"{'Director': 'Nino Akhvlediani', 'IMDb Page': 'https://www.imdb.com/name/nm0996337/?ref_=fn_nme_nme_1'}"
Liz Friedlander,"{'Director': 'Liz Friedlander', 'IMDb Page': 'https://www.imdb.com/name/nm0295107/?ref_=fn_nme_nme_1'}"
Sandy Gotham Meehanová,"{'Director': 'Sandy Gotham Meehanová', 'IMDb Page': 'https://www.imdb.com/name/nm4998134/?ref_=fn_nme_nme_1'}"
Alina Grigore,"{'Director': 'Alina Grigore', 'IMDb Page': 'https://www.imdb.com/name/nm2443054/?ref_=fn_nme_nme_1'}"
Dalia Hager,"{'Director': 'Dalia Hager', 'IMDb Page': 'https://www.imdb.com/name/nm0353263/?ref_=fn_nme_nme_1'}"
Veronika Kaserer,"{'Director': 'Veronika Kaserer', 'IMDb Page': 'https://www.imdb.com/name/nm5561880/?ref_=fn_nme_nme_1'}"
Jihane Chouaib,"{'Director': 'Jihane Chouaib', 'IMDb Page': 'https://www.imdb.com/name/nm1309616/?ref_=fn_nme_nme_1'}"
Pegah Ghaemi,"{'Director': 'Pegah Ghaemi', 'IMDb Page': 'https://www.imdb.com/name/nm2291818/?ref_=fn_nme_nme_1'}"
Geeta Gandbhir,"{'Director': 'Geeta Gandbhir', 'IMDb Page': 'https://www.imdb.com/name/nm0304135/?ref_=fn_nme_nme_1'}"
Heike Hanold-Lynch,"{'Director': 'Heike Hanold-Lynch', 'IMDb Page': 'https://www.imdb.com/name/nm0360515/?ref_=fn_nme_nme_1'}"
Pamela Adlon,"{'Director': 'Pamela Adlon', 'IMDb Page': 'https://www.imdb.com/name/nm0781899/?ref_=fn_nme_nme_1'}"
Sharon Lockhart,"{'Director': 'Sharon Lockhart', 'IMDb Page': 'https://www.imdb.com/name/nm0516897/?ref_=fn_nme_nme_1'}"
Susana de Sousa Dias,"{'Director': 'Susana de Sousa Dias', 'IMDb Page': 'https://www.imdb.com/name/nm0815946/?ref_=fn_nme_nme_1'}"
Louise Wadley,"{'Director': 'Louise Wadley', 'IMDb Page': 'https://www.imdb.com/name/nm0905586/?ref_=fn_nme_nme_1'}"
Niva Dorell,"{'Director': 'Niva Dorell', 'IMDb Page': 'https://www.imdb.com/name/nm0233505/?ref_=fn_nme_nme_1'}"
Greta Stocklassa,"{'Director': 'Greta Stocklassa', 'IMDb Page': 'https://www.imdb.com/name/nm7670069/?ref_=fn_nme_nme_1'}"
Poornima Indrajith,"{'Director': 'Poornima Indrajith', 'IMDb Page': 'https://www.imdb.com/name/nm0595914/?ref_=fn_nme_nme_1'}"
Aparnaa Singh,"{'Director': 'Aparnaa Singh', 'IMDb Page': 'https://www.imdb.com/name/nm8737501/?ref_=fn_nme_nme_1'}"
Rita Coburn Whack,"{'Director': 'Rita Coburn Whack', 'IMDb Page': 'https://www.imdb.com/name/nm4450374/?ref_=fn_nme_nme_1'}"
Karen Goodman,"{'Director': 'Karen Goodman', 'IMDb Page': 'https://www.imdb.com/name/nm0329139/?ref_=fn_nme_nme_1'}"
Christina Ramsauer,"{'Director': 'Christina Ramsauer', 'IMDb Page': 'https://www.imdb.com/name/nm7839183/?ref_=fn_nme_nme_1'}"
Aline Lakatos,"{'Director': 'Aline Lakatos', 'IMDb Page': 'https://www.imdb.com/name/nm11386892/?ref_=fn_nme_nme_1'}"
Eva Vives,"{'Director': 'Eva Vives', 'IMDb Page': 'https://www.imdb.com/name/nm0900284/?ref_=fn_nme_nme_1'}"
Sidse Carstens,"{'Director': 'Sidse Carstens', 'IMDb Page': 'https://www.imdb.com/name/nm1754863/?ref_=fn_nme_nme_1'}"
Tina Traben,"{'Director': 'Tina Traben', 'IMDb Page': 'https://www.imdb.com/name/nm2447809/?ref_=fn_nme_nme_1'}"
Dana Nachman,"{'Director': 'Dana Nachman', 'IMDb Page': 'https://www.imdb.com/name/nm2944812/?ref_=fn_nme_nme_1'}"
Carolina Moraes Liu,"{'Director': 'Carolina Moraes Liu', 'IMDb Page': 'https://www.imdb.com/name/nm1327665/?ref_=fn_nme_nme_1'}"
Barbara Doran,"{'Director': 'Barbara Doran', 'IMDb Page': 'https://www.imdb.com/name/nm0233353/?ref_=fn_nme_nme_1'}"
Lotte Folke Kaarsholm,"{'Director': 'Lotte Folke Kaarsholm', 'IMDb Page': 'https://www.imdb.com/name/nm4194330/?ref_=fn_nme_nme_1'}"
Sofia Rotaru,"{'Director': 'Sofia Rotaru', 'IMDb Page': 'https://www.imdb.com/name/nm0744719/?ref_=fn_nme_nme_1'}"
Firəngiz Qurbanova,"{'Director': 'Firəngiz Qurbanova', 'IMDb Page': 'https://www.imdb.com/name/nm4910794/?ref_=fn_nme_nme_1'}"
Jasmine D'Souza,"{'Director': ""Jasmine D'Souza"", 'IMDb Page': 'https://www.imdb.com/name/nm7867078/?ref_=fn_nme_nme_1'}"
Jennifer Devoldère,"{'Director': 'Jennifer Devoldère', 'IMDb Page': 'https://www.imdb.com/name/nm2761475/?ref_=fn_nme_nme_1'}"
Chloe Domont,"{'Director': 'Chloe Domont', 'IMDb Page': 'https://www.imdb.com/name/nm2132542/?ref_=fn_nme_nme_1'}"
Cécile Gariépy,"{'Director': 'Cécile Gariépy', 'IMDb Page': 'https://www.imdb.com/name/nm6366242/?ref_=fn_nme_nme_1'}"
Virginie Wagon,"{'Director': 'Virginie Wagon', 'IMDb Page': 'https://www.imdb.com/name/nm0906174/?ref_=fn_nme_nme_1'}"
Hanna Azoulay Hasfari,"{'Director': 'Hanna Azoulay Hasfari', 'IMDb Page': 'https://www.imdb.com/name/nm0044384/?ref_=fn_nme_nme_1'}"
Marie Miyayama,"{'Director': 'Marie Miyayama', 'IMDb Page': 'https://www.imdb.com/name/nm2144733/?ref_=fn_nme_nme_1'}"
Elke Hauck,"{'Director': 'Elke Hauck', 'IMDb Page': 'https://www.imdb.com/name/nm1454639/?ref_=fn_nme_nme_1'}"
Sara Fishko,"{'Director': 'Sara Fishko', 'IMDb Page': 'https://www.imdb.com/name/nm0279854/?ref_=fn_nme_nme_1'}"
Marijana Jankovic,"{'Director': 'Marijana Jankovic', 'IMDb Page': 'https://www.imdb.com/name/nm2711342/?ref_=fn_nme_nme_1'}"
Go-woon Jeon,"{'Director': 'Go-woon Jeon', 'IMDb Page': 'https://www.imdb.com/name/nm5396854/?ref_=fn_nme_nme_1'}"
Lorenza Castella,"{'Director': 'Lorenza Castella', 'IMDb Page': 'https://www.imdb.com/name/nm10412067/?ref_=fn_nme_nme_1'}"
Barbara Weissenbeck,"{'Director': 'Barbara Weissenbeck', 'IMDb Page': 'https://www.imdb.com/name/nm4823308/?ref_=fn_nme_nme_1'}"
Melora Hardin,"{'Director': 'Melora Hardin', 'IMDb Page': 'https://www.imdb.com/name/nm0002124/?ref_=fn_nme_nme_1'}"
Pamela Loli Soto,"{'Director': 'Pamela Loli Soto', 'IMDb Page': 'Not Found'}"
Cécilia Rouaud,"{'Director': 'Cécilia Rouaud', 'IMDb Page': 'https://www.imdb.com/name/nm0745510/?ref_=fn_nme_nme_1'}"
Kathrin Anderson,"{'Director': 'Kathrin Anderson', 'IMDb Page': 'https://www.imdb.com/name/nm13087808/?ref_=fn_nme_nme_1'}"
Guro Bruusgaard,"{'Director': 'Guro Bruusgaard', 'IMDb Page': 'https://www.imdb.com/name/nm3132436/?ref_=fn_nme_nme_1'}"
Jyoti Kapur Das,"{'Director': 'Jyoti Kapur Das', 'IMDb Page': 'https://www.imdb.com/name/nm6372520/?ref_=fn_nme_nme_1'}"
Helen Black,"{'Director': 'Helen Black', 'IMDb Page': 'https://www.imdb.com/name/nm12216753/?ref_=fn_nme_nme_1'}"
Devorah Baum,"{'Director': 'Devorah Baum', 'IMDb Page': 'https://www.imdb.com/name/nm6870872/?ref_=fn_nme_nme_1'}"
Zippi Brand Frank,"{'Director': 'Zippi Brand Frank', 'IMDb Page': 'https://www.imdb.com/name/nm3425623/?ref_=fn_nme_nme_1'}"
Leilah Weinraub,"{'Director': 'Leilah Weinraub', 'IMDb Page': 'https://www.imdb.com/name/nm2270523/?ref_=fn_nme_nme_1'}"
Inés Ruiz Alvarado,"{'Director': 'Inés Ruiz Alvarado', 'IMDb Page': 'https://www.imdb.com/name/nm7301011/?ref_=fn_nme_nme_1'}"
Louise Courvoisier,"{'Director': 'Louise Courvoisier', 'IMDb Page': 'https://www.imdb.com/name/nm9769950/?ref_=fn_nme_nme_1'}"
Judy Irving,"{'Director': 'Judy Irving', 'IMDb Page': 'https://www.imdb.com/name/nm0410294/?ref_=fn_nme_nme_1'}"
Nitza Gonen,"{'Director': 'Nitza Gonen', 'IMDb Page': 'https://www.imdb.com/name/nm0327289/?ref_=fn_nme_nme_1'}"
Cecilia Aranovich,"{'Director': 'Cecilia Aranovich', 'IMDb Page': 'https://www.imdb.com/name/nm2101545/?ref_=fn_nme_nme_1'}"
Maria Murashova,"{'Director': 'Maria Murashova', 'IMDb Page': 'https://www.imdb.com/name/nm8124078/?ref_=fn_nme_nme_1'}"
Karen Gillan,"{'Director': 'Karen Gillan', 'IMDb Page': 'https://www.imdb.com/name/nm2394794/?ref_=fn_nme_nme_1'}"
Zeynep Dadak,"{'Director': 'Zeynep Dadak', 'IMDb Page': 'https://www.imdb.com/name/nm3822608/?ref_=fn_nme_nme_1'}"
Merve Kayan,"{'Director': 'Merve Kayan', 'IMDb Page': 'https://www.imdb.com/name/nm3481902/?ref_=fn_nme_nme_1'}"
Gita Mallik,"{'Director': 'Gita Mallik', 'IMDb Page': 'https://www.imdb.com/name/nm0540021/?ref_=fn_nme_nme_1'}"
Anahid Abad,"{'Director': 'Anahid Abad', 'IMDb Page': 'https://www.imdb.com/name/nm9307200/?ref_=fn_nme_nme_1'}"
Xuan Jiang,"{'Director': 'Xuan Jiang', 'IMDb Page': 'https://www.imdb.com/name/nm13564185/?ref_=fn_nme_nme_1'}"
Cécile Denjean,"{'Director': 'Cécile Denjean', 'IMDb Page': 'https://www.imdb.com/name/nm4802346/?ref_=fn_nme_nme_1'}"
Ruba Salameh,"{'Director': 'Ruba Salameh', 'IMDb Page': 'https://www.imdb.com/name/nm4820677/?ref_=fn_nme_nme_1'}"
Jude Pauline Eberhard,"{'Director': 'Jude Pauline Eberhard', 'IMDb Page': 'https://www.imdb.com/name/nm0248037/?ref_=fn_nme_nme_1'}"
Birgit Stein,"{'Director': 'Birgit Stein', 'IMDb Page': 'https://www.imdb.com/name/nm0825406/?ref_=fn_nme_nme_1'}"
Korinna Sehringer,"{'Director': 'Korinna Sehringer', 'IMDb Page': 'https://www.imdb.com/name/nm0782271/?ref_=fn_nme_nme_1'}"
Elli Rintala,"{'Director': 'Elli Rintala', 'IMDb Page': 'https://www.imdb.com/name/nm2802533/?ref_=fn_nme_nme_1'}"
Maiju Ingman,"{'Director': 'Maiju Ingman', 'IMDb Page': 'https://www.imdb.com/name/nm2247031/?ref_=fn_nme_nme_1'}"
Adria Petty,"{'Director': 'Adria Petty', 'IMDb Page': 'https://www.imdb.com/name/nm1130444/?ref_=fn_nme_nme_1'}"
Tanja Hamilton,"{'Director': 'Tanja Hamilton', 'IMDb Page': 'https://www.imdb.com/name/nm1622970/?ref_=fn_nme_nme_1'}"
Nonny de la Peña,"{'Director': 'Nonny de la Peña', 'IMDb Page': 'https://www.imdb.com/name/nm0478810/?ref_=fn_nme_nme_1'}"
Olivia Rochette,"{'Director': 'Olivia Rochette', 'IMDb Page': 'https://www.imdb.com/name/nm4212687/?ref_=fn_nme_nme_1'}"
Becky Casey,"{'Director': 'Becky Casey', 'IMDb Page': 'https://www.imdb.com/name/nm8160919/?ref_=fn_nme_nme_1'}"
Roxy Shih,"{'Director': 'Roxy Shih', 'IMDb Page': 'https://www.imdb.com/name/nm4367428/?ref_=fn_nme_nme_1'}"
Christina Hemauer,"{'Director': 'Christina Hemauer', 'IMDb Page': 'https://www.imdb.com/name/nm3301276/?ref_=fn_nme_nme_1'}"
Ann Oren,"{'Director': 'Ann Oren', 'IMDb Page': 'https://www.imdb.com/name/nm2185108/?ref_=fn_nme_nme_1'}"
Joy Odiete,"{'Director': 'Joy Odiete', 'IMDb Page': 'https://www.imdb.com/name/nm9866788/?ref_=fn_nme_nme_1'}"
Vero Cratzborn,"{'Director': 'Vero Cratzborn', 'IMDb Page': 'https://www.imdb.com/name/nm0186566/?ref_=fn_nme_nme_1'}"
Ariel Saint-Louis Lamoureux,"{'Director': 'Ariel Saint-Louis Lamoureux', 'IMDb Page': 'https://www.imdb.com/name/nm12850598/?ref_=fn_nme_nme_1'}"
Honey Irani,"{'Director': 'Honey Irani', 'IMDb Page': 'https://www.imdb.com/name/nm0409790/?ref_=fn_nme_nme_1'}"
Cinzia Bomoll,"{'Director': 'Cinzia Bomoll', 'IMDb Page': 'https://www.imdb.com/name/nm3468658/?ref_=fn_nme_nme_1'}"
Elizabeth Schenk,"{'Director': 'Elizabeth Schenk', 'IMDb Page': 'https://www.imdb.com/name/nm7938375/?ref_=fn_nme_nme_1'}"
Magaby García,"{'Director': 'Magaby García', 'IMDb Page': 'https://www.imdb.com/name/nm2036160/?ref_=fn_nme_nme_1'}"
Marta Nováková,"{'Director': 'Marta Nováková', 'IMDb Page': 'https://www.imdb.com/name/nm2458905/?ref_=fn_nme_nme_1'}"
Trylle Vilstrup,"{'Director': 'Trylle Vilstrup', 'IMDb Page': 'https://www.imdb.com/name/nm0998278/?ref_=fn_nme_nme_1'}"
Hadas Ayalon,"{'Director': 'Hadas Ayalon', 'IMDb Page': 'https://www.imdb.com/name/nm2879039/?ref_=fn_nme_nme_1'}"
Ufuoma Ejenobor,"{'Director': 'Ufuoma Ejenobor', 'IMDb Page': 'https://www.imdb.com/name/nm2540615/?ref_=fn_nme_nme_1'}"
Anni L. Qvist,"{'Director': 'Anni L. Qvist', 'IMDb Page': 'https://www.imdb.com/name/nm1201809/?ref_=fn_nme_nme_1'}"
Catrin Einhorn,"{'Director': 'Catrin Einhorn', 'IMDb Page': 'https://www.imdb.com/name/nm5927010/?ref_=fn_nme_nme_1'}"
Maura Delpero,"{'Director': 'Maura Delpero', 'IMDb Page': 'https://www.imdb.com/name/nm5471170/?ref_=fn_nme_nme_1'}"
Machérie Ekwa Bahango,"{'Director': 'Machérie Ekwa Bahango', 'IMDb Page': 'https://www.imdb.com/name/nm10747138/?ref_=fn_nme_nme_1'}"
Ivanka Grybcheva,"{'Director': 'Ivanka Grybcheva', 'IMDb Page': 'https://www.imdb.com/name/nm0344780/?ref_=fn_nme_nme_1'}"
Mar Coll,"{'Director': 'Mar Coll', 'IMDb Page': 'https://www.imdb.com/name/nm2025290/?ref_=fn_nme_nme_1'}"
Karen Cho,"{'Director': 'Karen Cho', 'IMDb Page': 'https://www.imdb.com/name/nm0621062/?ref_=fn_nme_nme_1'}"
Alicia Cano Menoni,"{'Director': 'Alicia Cano Menoni', 'IMDb Page': 'https://www.imdb.com/name/nm5113033/?ref_=fn_nme_nme_1'}"
Jennifer Getzinger,"{'Director': 'Jennifer Getzinger', 'IMDb Page': 'https://www.imdb.com/name/nm0315298/?ref_=fn_nme_nme_1'}"
Myriam Bakir,"{'Director': 'Myriam Bakir', 'IMDb Page': 'https://www.imdb.com/name/nm1642215/?ref_=fn_nme_nme_1'}"
Gözde Kural,"{'Director': 'Gözde Kural', 'IMDb Page': 'https://www.imdb.com/name/nm7322614/?ref_=fn_nme_nme_1'}"
Titien Wattimena,"{'Director': 'Titien Wattimena', 'IMDb Page': 'https://www.imdb.com/name/nm1907447/?ref_=fn_nme_nme_1'}"
Solveig Hoogesteijn,"{'Director': 'Solveig Hoogesteijn', 'IMDb Page': 'https://www.imdb.com/name/nm0393566/?ref_=fn_nme_nme_1'}"
Narjiss Nejjar,"{'Director': 'Narjiss Nejjar', 'IMDb Page': 'https://www.imdb.com/name/nm1280592/?ref_=fn_nme_nme_1'}"
Jennifer Dworkin,"{'Director': 'Jennifer Dworkin', 'IMDb Page': 'https://www.imdb.com/name/nm1227426/?ref_=fn_nme_nme_1'}"
